Description,Price,Rating,Product URL
Indian Non Iodised Sea Salt 1000grams Cont Traditionally Made 100% Natural,₹139.10,4.3 out of 5 stars,https://www.amazon.in/Thanjai-Natural-Indian-Non-Iodised-Salt/dp/B07PV1PCPD/ref=sr_1_32?dchild=1&keywords=salt&qid=1627296515&sr=8-32
"Chef Urbano Himalayan Pink Salt Pouch, 500 g",₹116,4.2 out of 5 stars,https://www.amazon.in/Chef-Urbano-Himalayan-Pink-Salt/dp/B06Y144KC2/ref=sr_1_33?dchild=1&keywords=salt&qid=1627296515&sr=8-33
Natureland Organics Himalayan Pink Rock Salt 1 KG (Pack of 3)- Organic Rock Salt,₹250,4.2 out of 5 stars,https://www.amazon.in/Natureland-Organics-Himalayan-Pink-Organic/dp/B081T7P5HB/ref=sr_1_34?dchild=1&keywords=salt&qid=1627296515&smid=AT95IG9ONZD7S&sr=8-34
"Saffola Salt Plus, Less Sodium, 1kg Pack",₹35,4.4 out of 5 stars,https://www.amazon.in/Saffola-Salt-1-kg/dp/B01GO13MQM/ref=sr_1_35?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-35
"Tata Rock Salt, 1 kg",₹120,3.7 out of 5 stars,https://www.amazon.in/Tata-Rock-Salt-1-kg/dp/B086B25X6L/ref=sr_1_36?dchild=1&keywords=salt&qid=1627296515&sr=8-36
"Organic Tattva Natural Rock Salt, 500g",₹50,4.3 out of 5 stars,https://www.amazon.in/Organic-Tattva-Natural-Rock-Salt/dp/B00M57X0IA/ref=sr_1_37?dchild=1&keywords=salt&qid=1627296515&sr=8-37
NutroActive MineralSalt Himalayan Pink Rock Salt Extra Fine Grain - 1 kg,₹314,4.1 out of 5 stars,https://www.amazon.in/NutroActive-Mineral-Salt-Extra-Grain/dp/B074NZT9XH/ref=sr_1_38?dchild=1&keywords=salt&qid=1627296515&smid=A9C6DSG66HAN3&sr=8-38
NutroActive Mineral Himalayan Pink Rock Salt Fine Grain (0.5-1 mm) 1 Kg- Pack of 2,₹499,4.0 out of 5 stars,https://www.amazon.in/NutroActive-Mineral-Himalayan-Grain-0-5-1mm/dp/B074P7JQH1/ref=sr_1_39?dchild=1&keywords=salt&qid=1627296515&sr=8-39
"Sri Sri Tattva Rock Salt ,1kg (Pack of 3)",₹314,4.3 out of 5 stars,https://www.amazon.in/Sri-Tattva-Rock-Salt-Pack/dp/B07PS16784/ref=sr_1_40?dchild=1&keywords=salt&qid=1627296515&sr=8-40
Organic Tattva Himalayan Pink Salt 500 gm Pouch,₹70,4.0 out of 5 stars,https://www.amazon.in/Organic-Tattva-Himalayan-Pink-Pouch/dp/B07KN7L526/ref=sr_1_41?dchild=1&keywords=salt&qid=1627296515&sr=8-41
"Puro Healthy Salt Crystal, 1kg (Pack of 2)",₹250,4.3 out of 5 stars,https://www.amazon.in/Puro-Healthy-Salt-Crystal-Pack/dp/B07C9YFZ5V/ref=sr_1_42?dchild=1&keywords=salt&qid=1627296515&sr=8-42
Malowal Himalayan Pink Rock Salt Chunks 930 GM,₹187,4.5 out of 5 stars,https://www.amazon.in/Malowal-Himalayan-Pink-Rock-Chunks/dp/B091GMXLRP/ref=sr_1_43?dchild=1&keywords=salt&qid=1627296515&sr=8-43
Thanjai Natural Traditionally Made Natural Indian Non Iodised Sea Salt - 3KG,₹259,4.4 out of 5 stars,https://www.amazon.in/Thanjai-Natural-Indian-Non-Iodised-Salt/dp/B07LBM5BT9/ref=sr_1_44?dchild=1&keywords=salt&qid=1627296515&sr=8-44
Ved Tatva Himalayan Pink Rock Salt Sendha Namak 1 Kg,₹99,4.4 out of 5 stars,https://www.amazon.in/Tatva-Himalayan-Pink-Sendha-Namak/dp/B08ZHD18B9/ref=sr_1_45?dchild=1&keywords=salt&qid=1627296515&sr=8-45
"Vedaka Pink Rock Salt Powder (Sendha namak), 1kg",₹99,3.6 out of 5 stars,https://www.amazon.in/Vedaka-Pink-Rock-Salt-Powder/dp/B07KXG5Z4Y/ref=sr_1_46?dchild=1&keywords=salt&qid=1627296515&sr=8-46
"Catch Sprinklers Iodized Table Salt, 200g",₹31.50,4.4 out of 5 stars,https://www.amazon.in/Catch-Sprinklers-Iodized-Table-Bottle/dp/B01CHVJ528/ref=sr_1_47?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-47
"Hathi Black Salt Powder, (1 Kg)",₹80,4.1 out of 5 stars,https://www.amazon.in/Hathi-Black-Salt-Powder-Kg/dp/B0768BML1G/ref=sr_1_48?dchild=1&keywords=salt&qid=1627296515&sr=8-48
"Urban Platter Arabian Sea Salt Flakes, 500g",₹141,4.1 out of 5 stars,https://www.amazon.in/Urban-Platter-Arabian-Salt-Flakes/dp/B01BHX9PD6/ref=sr_1_49?dchild=1&keywords=salt&qid=1627296515&sr=8-49
"NutroActive Mineral Himalayan Pink Rock Salt Fine Grain (0.5-1 mm), 200 g",₹163,4.0 out of 5 stars,https://www.amazon.in/NutroActive-Himalayan-Mineral-Grain-0-5-1/dp/B07459VS85/ref=sr_1_50?dchild=1&keywords=salt&qid=1627296515&smid=A9C6DSG66HAN3&sr=8-50
Natural Sea Salt 500grams Hand Harvested No Preservatives No GMO Traditionally Made 100% Natural,₹99,4.2 out of 5 stars,https://www.amazon.in/Natural-Sea-Salt-Preservatives-Traditionally/dp/B082MJNY7S/ref=sr_1_51?dchild=1&keywords=salt&qid=1627296515&sr=8-51
Thanjai Natural's 1kg Non-iodised Indian Natural Sea Salt 100% Natural for Healthy Cooking - 1kg,₹75,5.0 out of 5 stars,https://www.amazon.in/Thanjai-Naturals-Non-iodised-Natural-Healthy/dp/B091SZ5X6J/ref=sr_1_52?dchild=1&keywords=salt&qid=1627296515&sr=8-52
Nutroactive MineralSalt Himalayan Pink Rock Salt Fine Grain 1Kg,₹294,4.1 out of 5 stars,https://www.amazon.in/Nutroactive-Mineral-Himalayan-Grain-0-5-1/dp/B074L51DST/ref=sr_1_53?dchild=1&keywords=salt&qid=1627296515&smid=A9C6DSG66HAN3&sr=8-53
Leaf & Nectar Pink Himalayan Rock Salt - for Cooking/ Curing / Bath / Fasting / for Weight Loss - 1.30 kg,₹390,4.5 out of 5 stars,https://www.amazon.in/Leaf-Nectar-Pink-Himalayan-Rock/dp/B08DNX8JN7/ref=sr_1_54?dchild=1&keywords=salt&qid=1627296515&sr=8-54
"Urban Platter Garlic Salt, 150g",₹225,4.2 out of 5 stars,https://www.amazon.in/Urban-Platter-Garlic-Salt-200g/dp/B01MXOMVNK/ref=sr_1_55?dchild=1&keywords=salt&qid=1627296515&sr=8-55
Salz & Aroma Black Salt Powder/Kala Namak 800 g,₹249,4.4 out of 5 stars,https://www.amazon.in/Salz-Aroma-Black-Powder-Namak/dp/B07PCRDYQH/ref=sr_1_56?dchild=1&keywords=salt&qid=1627296515&sr=8-56
Essential Blends Organic Himalayan Pink Salt | Rock Salt | Sendha Namak -1000gm,₹160,4.1 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08967486FA4N11RNJEZ&url=%2FEssential-Blends-Organic-Himalayan-5packet%2Fdp%2FB07Y5FCVPW%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-57-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_btf
Ved Tatva Himalayan Pink Rock Salt Sendha Namak 1 Kg,₹99,4.4 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06892873PJYR8ET8LZEZ&url=%2FTatva-Himalayan-Pink-Sendha-Namak%2Fdp%2FB08ZHD18B9%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-58-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_btf
