Description,Price,Rating,Product URL
Live Tech Ambush USB Mouse Sensor Backlit 7 Colour Slow Flash 800/1200 DPI Max 3000 fps Cable Length：1.3 M Cable Max (Black),₹301,4.3 out of 5 stars,https://www.amazon.in/Live-Tech-Ambush-Backlit-Length%EF%BC%9A1-3/dp/B08HK9QJRT/ref=sr_1_22?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-22
"NK STAR Portable Slim Wireless Mouse for Laptops 2.4Ghz Silent Wireless Optical Mouse for Laptop, Desktop ( Multicolor )",₹249,3.1 out of 5 stars,https://www.amazon.in/NK-STAR-Portable-Mouse-Multicolor/dp/B092LYKTX8/ref=sr_1_23?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-23
"Rechargeable Ultra Thin Wireless A2 Mouse (Black) -1600 dpi, No Clicking Sound (Silent Button), RGB Light LED Backlit, Ergonomic Design & Comfortable Shape - for Office & Home Use",₹749,5.0 out of 5 stars,https://www.amazon.in/Rechargeable-Wireless-Clicking-Ergonomic-Comfortable/dp/B097JVBJ38/ref=sr_1_24?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-24
HP 200 Wireless Mouse (Black),₹699,4.3 out of 5 stars,https://www.amazon.in/HP-200-Wireless-Mouse-Black/dp/B06Y34RQ6Y/ref=sr_1_25?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-25
(Renewed) Logitech B175 Wireless Mouse (Black),₹499,3.9 out of 5 stars,https://www.amazon.in/Renewed-Logitech-Wireless-Mouse-Black/dp/B07LGRRJVJ/ref=sr_1_26?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-26
"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Red",₹799,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06325502AY4B182HGS5Q&url=%2FLogitech-M221-Silent-Wireless-Mouse%2Fdp%2FB01MQ5U383%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26sr%3D8-27-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_mtf
Zebronics Zeb-Shine Wireless Mouse(White),₹329,3.6 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00704591FJOLVLH1W49G&url=%2FZebronics-Zeb-Shine-Plus-Wireless-Mouse%2Fdp%2FB07V6VS1NN%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26sr%3D8-28-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_mtf
"Lenovo 600 Bluetooth® Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity via Bluetooth® 5.0 with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery life: up to 1 yr","₹1,499",4.5 out of 5 stars,https://www.amazon.in/Lenovo-600-Bluetooth%C2%AE-Silent-Mouse/dp/B08LW31NQ6/ref=sr_1_29?dchild=1&keywords=wireless+mouse&qid=1627296225&smid=A14CZOWI0VEHLG&sr=8-29
HP S500 Wireless Mouse(7YA11PA),₹775,4.0 out of 5 stars,https://www.amazon.in/HP-S500-Wireless-Mouse/dp/B083W6MDWV/ref=sr_1_30?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-30
Kanget Ultra Slim Wireless Mouse (Black),₹369,3.1 out of 5 stars,https://www.amazon.in/Kanget-Ultra-Wireless-Mouse-Black/dp/B08577F5SL/ref=sr_1_31?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-31
